gene	exprs	cell_type
GPAA1	986.25	hNK
PDE4D	545.25	hNK
MARS	1147.5	hNK
CDKN1A	346	hNK
NOD1	4040.75	teNK
IRF8	9595.5	teNK
SMAD3	6094.75	teNK
IFNG	1710	teNK
NEK6	314	hNK
PLCG2	2902	teNK
AOAH	3296.25	teNK
TGFB1	5269.5	hNK
RIPOR2	10407	teNK
KLRC1	8801.5	teNK
KLRC2	8801.5	teNK
KLRC3	8801.5	teNK
KLRC4	8801.5	teNK
KLRC4-KLRK1	8801.5	teNK
YPEL1	957	hNK
TIPARP	1723.25	hNK
GCLM	836.5	hNK
GCLC	1424.5	hNK
CISH	312	hNK
SLAMF7	4885.5	teNK
LPXN	669	hNK
ITGAX	976.25	teNK
CXCR6	308	hNK
SIK1	1217	teNK
SIK1B	1217	teNK
CD226	2031.5	teNK
YARS	919	hNK
SYNE3	3957	teNK
BCL2	10592.75	hNK
UBXN11	835.75	teNK
PHGDH	640	hNK
AEN	432.75	hNK
ITGAM	2146.25	teNK
SOCS1	792.5	hNK
PER1	2161.5	teNK
CHSY1	10137.5	teNK
NARS	2278.25	hNK
IKZF1	12790	teNK
IRF7	992	teNK
SKI	4578.75	hNK
TYK2	4157	teNK
PLEK	17031.25	teNK
RORA	1838.25	hNK
GOLIM4	1608.25	hNK
PCK2	590.25	hNK
LY9	2973	teNK
PIK3R1	13997.25	teNK
MYO18A	1644.25	teNK
TSC22D3	4432	teNK
SPTBN1	14239.5	teNK
EMP1	1282.75	hNK
GARS	2576.5	hNK
MID1	1695.75	teNK
GPT2	250.25	hNK
ST6GALNAC4	693.5	hNK
RGS2	3515.5	teNK
SAMD9L	11006.25	teNK
JAK3	2059.75	teNK
GFRA2	463	teNK
DOK2	2880	teNK
BIN2	8636.25	teNK
GLMN	373	hNK
BTG2	7116.75	teNK
SEMA4A	4161.75	teNK
KIAA0040	2005.5	teNK
ITPR1	1900.75	teNK
SAMHD1	4482.5	teNK
GIMAP8	6991.5	teNK
NCALD	1344	teNK
PLCB4	689	teNK
AS3MT	475.25	teNK
C5orf30	2764.75	teNK
OPLAH	773	hNK
GPR65	2147.25	teNK
TARS	1284.25	hNK
TSPAN32	1553	teNK
KLRC4	758	teNK
KLRC4-KLRK1	758	teNK
RHPN1	394.75	teNK
GIMAP4	14654.5	teNK
NUP210	6941.25	teNK
LYPD1	350	teNK
LTB	1414.25	hNK
PDCD4	7619.5	teNK
SLC1A4	341	hNK
MGLL	1002.5	hNK
CMA1	2959.75	teNK
FOSL2	2925.75	teNK
LSP1	3398	teNK
KLHL25	742.5	hNK
LRMP	2302.25	teNK
MXD1	3983	teNK
PTPN4	6378	teNK
AVIL	428.25	hNK
RHBDD1	884.5	hNK
SLC3A2	2721.5	hNK
TUBB1	455.25	teNK
DTX1	329.25	teNK
AHNAK	92419.75	teNK
VWF	571	teNK
ZBP1	763.25	teNK
TMTC1	433.75	teNK
JUN	6394.5	teNK
EIF4EBP1	274.5	hNK
ADCY7	6218.5	teNK
STK40	1109.25	hNK
DNAH8	2540	teNK
ATP10D	1041.5	teNK
DUSP5	4957.75	teNK
ATF5	171	hNK
CD244	2389	teNK
ICAM1	1555.75	teNK
RUNX1	5384	teNK
PPP1R3B	777	hNK
ITGAL	20099.5	teNK
CEBPG	1122	hNK
KLF10	1076.75	teNK
FOXO3	2459.25	teNK
EPRS	3100.75	hNK
ELOVL7	783.25	teNK
GEM	4153	teNK
LAIR1	585.75	teNK
STAT4	4067.25	teNK
PLCB2	2121.5	teNK
STK10	7846	teNK
RNF149	417.25	hNK
ARAP2	7538.75	teNK
LARS	1849.75	hNK
RAP1B	20864.25	teNK
MYO1F	7777.75	teNK
IER5	2864.75	teNK
CHD7	3818.75	teNK
MAFG	566.75	hNK
ANXA6	7753.75	teNK
CDH1	148.25	hNK
TXN	992.75	hNK
SYK	4586.25	teNK
EHMT2	1879.75	teNK
EPSTI1	2157.25	teNK
SORL1	4688.5	teNK
PMAIP1	343	teNK
NT5E	1282	hNK
PRC1	612.75	teNK
SLC26A11	390.75	hNK
SPN	15158.5	teNK
DUSP1	4400.25	teNK
CORO7	2926.25	teNK
CORO7-PAM16	2926.25	teNK
FMNL2	136.25	hNK
ETV3	1335.25	hNK
PHF11	568.5	teNK
SSH1	3243.5	teNK
NSMAF	4838.75	teNK
TNFSF14	333.75	teNK
LITAF	763.75	hNK
ITGA2B	483.75	teNK
RCBTB2	531.75	hNK
VCL	1659.75	teNK
GNE	950.75	hNK
NOL6	767.25	hNK
GIMAP6	5323.25	teNK
PHACTR3	928.25	teNK
HEXIM1	1506.25	teNK
PPP2R2C	609.25	hNK
TNK2	1826.25	teNK
ASB2	312.25	hNK
CDC20B	478.5	teNK
HMOX1	426.75	hNK
SMIM3	386.5	hNK
NKG7	13216.5	teNK
GFOD1	1698.25	teNK
ARHGEF3	5377.75	teNK
CPNE7	483.25	teNK
SCPEP1	402.5	hNK
DGKA	2910.25	teNK
ABCG2	286.25	teNK
IL27RA	1013	teNK
OSBPL3	5837.25	teNK
CCRL2	474.25	teNK
SP140	10570.25	teNK
TMEM140	474.5	hNK
ADRB2	556.5	teNK
FAM49A	2318.25	teNK
ARHGAP4	5296.25	teNK
LDLRAD4	602.25	hNK
TXNDC5	1966.75	teNK
ALOX12	316	teNK
ZNF652	3241.5	hNK
CHD3	5052	teNK
SLAMF6	473	teNK
PARVG	1315	hNK
MYLIP	2774	teNK
PPARGC1A	314.25	hNK
DDIT3	575.75	hNK
HLA-A	1130	teNK
HLA-B	1130	teNK
HLA-C	1130	teNK
HLA-E	1130	teNK
HLA-F	1130	teNK
HLA-G	1130	teNK
VAV3	924	teNK
PPM1H	2085.25	hNK
JUNB	9939.25	teNK
TNFSF10	796	hNK
F5	594.5	teNK
TYROBP	6443.5	teNK
SLC1A5	935	hNK
SERPINB9	742.5	teNK
SNX9	222	hNK
MPP7	1719	teNK
FRY	717	teNK
LPAR6	991	hNK
KCNIP3	386.75	teNK
CD84	4818.75	teNK
PTP4A3	1878.25	teNK
CA2	2855.25	hNK
KCTD12	4599	teNK
HLA-A	1920.75	teNK
HLA-B	1920.75	teNK
HLA-C	1920.75	teNK
HLA-E	1920.75	teNK
HLA-F	1920.75	teNK
HLA-G	1920.75	teNK
ITPKB	3515.5	teNK
GIMAP1-GIMAP5	4761.75	teNK
GIMAP5	4761.75	teNK
GIMAP7	1215	teNK
NQO1	224.5	hNK
TAGLN2	4956.75	teNK
B3GNT5	1895	teNK
GPR155	683.5	hNK
DIP2A	394	hNK
TRIB3	488.5	hNK
INPP4A	1728.25	teNK
SRXN1	439.75	hNK
ST5	1340.75	teNK
TNFRSF10B	747.25	hNK
TNFRSF10C	747.25	hNK
TNFRSF10D	747.25	hNK
IQSEC1	3630.75	teNK
FRYL	18293.25	hNK
PRDM1	2820.25	teNK
PPM1J	721.25	teNK
SPRY2	4100.25	teNK
PRAG1	1754	teNK
SMYD3	634	hNK
IFRD1	2296.75	teNK
SH3PXD2B	149.75	hNK
PRKCA	972.75	teNK
GDPD5	239.25	hNK
ZFHX3	1048.5	teNK
DDX5	44560.75	teNK
AGPAT3	1938.75	teNK
GADD45B	264.5	teNK
COTL1	2983	hNK
TLN1	23517.5	teNK
SLC6A9	181.75	hNK
CCND3	3928.75	teNK
TMC8	1699.5	teNK
ADGRL1	514	teNK
ZMYND8	2024	teNK
ITGA1	147.75	hNK
POGK	4075.75	teNK
CENPA	652	teNK
CUX1	3060.25	hNK
PLSCR4	822.75	teNK
NABP1	9639	teNK
PSIP1	5647	teNK
ABTB2	632.5	teNK
EIF2S2	1797	hNK
IKBKE	957.5	teNK
ZFP1	206.25	hNK
FAM78B	232	teNK
GABARAPL1	558.25	hNK
DGKD	3177.75	teNK
FAM129B	703.25	hNK
RCSD1	3097	teNK
NQO2	850	teNK
PLP2	763	hNK
BORCS7	645.25	teNK
BORCS7-ASMT	645.25	teNK
SERPINB9	11772.75	teNK
BCL2L11	3885.75	hNK
KCTD9	632.75	hNK
IKZF3	11748	teNK
NR4A3	2144.75	teNK
MMRN1	291	teNK
PIM2	641	hNK
CDH22	260.5	teNK
NOSIP	784.5	hNK
SCML4	1148.75	teNK
PHLDA1	199.25	teNK
PRDX1	1608.75	hNK
CIART	144.25	hNK
FYB1	4337.75	teNK
ARMC5	467.25	teNK
CX3CR1	230.75	teNK
TMEM154	379.5	hNK
COBLL1	2525.5	teNK
PRKCQ	5203.25	teNK
HSPA5	10261.5	teNK
PIM1	5575	teNK
TESPA1	1189.75	teNK
NCK2	768.5	teNK
CD160	677.25	teNK
TSGA10	853.25	teNK
ETS1	17894	teNK
ITGAD	184.5	teNK
PIEZO1	1534.5	teNK
HSD11B1	1855	teNK
TRA2B	6412.5	teNK
PDE4DIP	1222	hNK
IFI16	2137	teNK
FAM53B	2481.25	teNK
CD300LF	243.75	teNK
SQSTM1	3954.25	hNK
CD48	3285.5	teNK
MCAM	736.5	teNK
SMARCD3	223.75	teNK
CREG1	491	hNK
TRIM8	1104.25	teNK
RMND5B	502	hNK
RILPL2	599.5	teNK
CASP7	498.75	teNK
CNDP2	609.75	hNK
NFKBIE	905.25	teNK
E2F2	347.5	teNK
HIST1H1B	908.75	teNK
CIPC	1403.25	teNK
SLC9A7	1150	teNK
ISG20	94.25	hNK
SNX5	7676.75	teNK
PISD	4200.25	teNK
KBTBD11	1116	teNK
EMP3	1767.75	teNK
ARL4C	4881	teNK
DNAJB4	1877.75	teNK
KCNAB2	4132	teNK
HLA-A	1885.5	teNK
HLA-B	1885.5	teNK
HLA-C	1885.5	teNK
HLA-E	1885.5	teNK
HLA-F	1885.5	teNK
HLA-G	1885.5	teNK
GCSH	227.75	hNK
UTRN	8239.5	teNK
TNIK	4534.25	teNK
MAP2K3	739.5	hNK
CYTIP	4100.5	teNK
PDE7A	3355.25	teNK
JADE2	3374.75	teNK
SACS	2222.5	hNK
GLRX	582	hNK
CLBA1	83.25	hNK
GSAP	5653.5	teNK
NFKBID	1430.5	teNK
INPP1	1261.25	teNK
ADD3	6742	teNK
FLNA	22822.5	teNK
ACVR2A	471.25	hNK
GAS7	2694.75	hNK
SH2D2A	5042.5	teNK
SNX18	3730	teNK
SESN2	327.5	hNK
NRGN	469.25	teNK
GPD2	2135.5	teNK
PPP1R16B	2007.5	hNK
UBE2H	3340	teNK
CDKN2D	490.5	teNK
SCFD2	721.5	teNK
ARHGEF1	9422	teNK
FAM84B	658.75	hNK
INPP4B	601.75	hNK
KLF12	1410.75	teNK
SH3KBP1	2477.25	teNK
PELI1	4535.75	hNK
FMNL1	7668.5	teNK
TRAF3	999.5	teNK
CDC25B	1009	teNK
CENPF	395.5	teNK
DIPK1A	640.75	teNK
MS4A6A	1724.5	teNK
MS4A6E	1724.5	teNK
FAM81A	211.25	teNK
CUEDC1	587.75	teNK
PCYT1A	662.25	teNK
DOCK11	10940.5	teNK
NARS2	665.5	teNK
CAVIN2	177	teNK
GNA12	457	hNK
ARHGAP10	1041.5	teNK
FRMD8	1182	hNK
MFSD6	1181.5	hNK
PPP1R12A	12761.75	teNK
MTHFR	387.5	hNK
EHD3	1031	teNK
ZC3HAV1	5266.5	hNK
IRF1	3433.5	teNK
USP3	3519.75	teNK
MFHAS1	1722.5	teNK
FHL1	198.25	teNK
PTPRC	75282.25	teNK
HES1	730	teNK
RASA3	5348.5	teNK
ARHGAP15	2740.5	teNK
COQ10B	1047.75	teNK
TOB1	1390.25	teNK
BTG1	23059	teNK
ATP1B1	5795.25	teNK
FCGR2A	153.75	teNK
FCGR2B	153.75	teNK
FCGR2C	153.75	teNK
ZAP70	1007.25	teNK
PTGS1	151.25	teNK
MYO1G	3802	teNK
HPGDS	81.25	hNK
JMJD1C	7448.25	teNK
RPL12	4661.25	hNK
UHRF1BP1	298.5	hNK
VOPP1	1505.5	teNK
PALD1	451	teNK
ADORA2A	1332	teNK
SPO11	152	teNK
CCNL1	7277.75	teNK
LPCAT4	991.75	teNK
B4GALT5	3658.25	teNK
FURIN	1544	hNK
PIP5K1B	159.25	hNK
SELL	16648.75	teNK
TP53INP2	475.75	teNK
NRROS	1060.25	teNK
FAM214A	1414	teNK
TSHZ3	1218	teNK
STK39	802.5	teNK
ANXA2	4592.25	teNK
GALNT3	557	hNK
SNORA23	157	hNK
CAD	1129.5	hNK
PRKAR2B	437.75	teNK
PICALM	7188.5	teNK
TBC1D22B	1378	teNK
SBK1	1232.75	teNK
STK38	3765.25	teNK
TP53I11	712	teNK
NR3C1	4166.5	teNK
DENND1C	2526	teNK
TSC22D1	1434	teNK
ITGA2	8862.75	teNK
CAPG	240.75	hNK
MYL9	158.5	teNK
STON2	173.5	teNK
SIKE1	2956	teNK
CHRNE	217.5	teNK
RCC2	1291	hNK
ATF4	3510.5	hNK
RPL18	1917.75	hNK
LCK	6734	teNK
SRGAP3	1924.25	teNK
KIAA1671	209.5	hNK
ICAM2	498.25	teNK
JAK1	46620.25	teNK
MAN2A1	3063.25	teNK
LGALS1	2192.75	teNK
RAB37	1071.5	teNK
FOXN3	2206.75	teNK
MDM1	357	teNK
MYADM	1659	teNK
ARL14EP	548.25	hNK
NUAK2	323.75	teNK
GRK2	4648.5	teNK
MTUS1	361.75	hNK
CTSC	3981.5	teNK
KIF23	356.75	teNK
SLC9C1	173.75	teNK
CSRNP1	857.75	teNK
S1PR1	398.75	hNK
CARD11	2700.75	teNK
RPL5	6637	hNK
STC2	249.75	hNK
ADAMTS6	1106.25	teNK
VIM	15264.25	teNK
RAP1GDS1	3542.5	teNK
MLXIP	3139.25	teNK
ARHGAP18	1998.75	teNK
VPS54	2765	hNK
ZFHX2	1589	teNK
MARVELD2	134.75	hNK
SULF2	2287.5	teNK
DUSP7	509.25	teNK
APBB1IP	6198.5	teNK
SORCS2	165.75	teNK
IPCEF1	4061.25	hNK
ACSBG1	182.5	hNK
CALHM2	752.5	teNK
CALD1	194.5	teNK
MRVI1	156.75	teNK
ATP2B4	5259	teNK
MAP7D1	3046.5	teNK
SIDT1	2009.75	teNK
BHLHE40	10480.75	teNK
FBXO33	1259.5	teNK
OXR1	3562.25	teNK
PACSIN1	126.25	hNK
TBC1D16	91.5	hNK
EXOSC4	241.5	hNK
FYN	7370.5	teNK
ENC1	681	teNK
PRKD2	961.5	hNK
CAMK2N1	253.75	teNK
GPR34	90.25	hNK
RPL4	13986.5	hNK
SIPA1L1	2567	hNK
DNAJB9	1832.25	teNK
KLRB1	2553.25	teNK
PIK3CB	1759.75	teNK
RAP2B	1741.75	teNK
POLR3H	182	hNK
STEAP3	267.25	teNK
PARP3	401.25	teNK
CA5B	759	teNK
CSK	3157.5	teNK
AKAP13	9076.5	hNK
NCKAP5L	244.25	teNK
LILRA4	410.5	teNK
LILRA5	410.5	teNK
LILRA6	410.5	teNK
LILRB3	410.5	teNK
LILRB4	410.5	teNK
LILRB5	410.5	teNK
GPC1	2945.75	hNK
CD22	138.5	teNK
MYLK	148.75	teNK
VARS	618.25	hNK
ATP6V0A1	101.75	hNK
ELF4	8191.75	teNK
ZNF503	96	hNK
NFE2L1	1445	hNK
PTPN12	4067.5	teNK
KLRB1	4748.5	teNK
POU2F2	214.5	teNK
CERS6	2577.5	teNK
ITGA6	1284.75	teNK
ELOB	633.75	hNK
NCKAP1L	7267.25	teNK
FLT3LG	637.5	hNK
RPL14	4000.75	hNK
SREBF2	955	hNK
RPL23	3103.75	hNK
DNMT1	4984.75	teNK
TPST2	1951.25	teNK
HEG1	803.25	teNK
TOP1MT	310.5	teNK
LRRFIP1	5701.5	teNK
OSBPL8	4931	teNK
PHB2	849.25	hNK
CTAGE1	1802.5	hNK
CTAGE15	1802.5	hNK
CTAGE4	1802.5	hNK
CTAGE6	1802.5	hNK
CTAGE8	1802.5	hNK
CTAGE9	1802.5	hNK
MIA2	1802.5	hNK
PADI2	4216.5	hNK
MYO16	58	hNK
GP6	133.5	teNK
KLRK1	11366.5	teNK
TREML2	196.25	teNK
LTBP1	167.75	teNK
ENPP1	688	teNK
AQP9	79.25	hNK
WARS	1054.25	hNK
BOD1L1	3971.25	teNK
SPPL2B	617	teNK
CDK6	1659	hNK
P2RY14	224	hNK
TM6SF2	132	teNK
CENPE	409	teNK
ACAP1	4845.75	teNK
GPR174	2211.25	teNK
NFATC3	9791.25	teNK
BACH1	960.25	hNK
RPS5	4183	hNK
NLRC5	1625	teNK
PODXL	217	teNK
UCP2	6332.5	teNK
CMYA5	197.75	teNK
CERK	1604.75	hNK
TRA2A	2458	teNK
SORD	634	teNK
RAPH1	1887.75	teNK
PLEKHA2	2052	hNK
BLM	641	hNK
FZD5	1502	teNK
HPCAL1	867	teNK
RPL21	2417.75	hNK
EXTL1	63	hNK
TNKS1BP1	383.5	hNK
TANC1	1047	teNK
GOLGA7	1349.5	hNK
RELT	400.75	teNK
HIST1H2BD	315.75	teNK
SLFN13	1546.5	teNK
RNF19B	332.5	hNK
FTL	86.25	hNK
SLC38A7	270.5	hNK
HVCN1	479.5	teNK
PSAT1	972.75	hNK
LHFPL2	53.5	hNK
LATS2	1311.25	teNK
CHAC1	148	hNK
MEF2C	1221.5	teNK
ZMIZ1	7759.75	teNK
STARD10	255.25	teNK
TMSB4Y	81781.75	teNK
HMGB2	3892.75	teNK
ADSSL1	93.75	hNK
DENND4A	6905.5	hNK
RAC2	9871.75	teNK
FASLG	3750.75	teNK
CRYBG1	3027	teNK
SLC38A2	6667.25	hNK
ZFAND5	3642	teNK
ARL4D	773.5	teNK
GPI	1700.5	hNK
TAB2	7928.75	hNK
RET	260.5	hNK
ZNF654	2134.5	teNK
RFX3	1015.25	teNK
PDE4B	1994.25	hNK
GAS2L1	168	teNK
PTP4A2	11546.75	teNK
UBE2S	709.25	teNK
ICOS	358.25	hNK
SSBP2	341.75	hNK
BMF	53.25	hNK
KLF6	10487.75	teNK
FAM102B	1195.5	teNK
RPL18A	5547.75	hNK
ABHD2	7854.5	teNK
GDI1	2335	teNK
NAB1	3032.25	teNK
SPICE1	815	teNK
FAM111A	1699.25	teNK
RGS1	8530.5	teNK
SEPT11	9388.5	teNK
RPL8	4191.75	hNK
HDAC7	885.75	teNK
CD247	1580	teNK
LBH	1955.75	teNK
SRSF5	8954.25	teNK
CDK11A	2751.5	teNK
CDK11B	2751.5	teNK
GIMAP1-GIMAP5	1727.75	teNK
GIMAP5	1727.75	teNK
AHRR	95.25	hNK
DLG4	219.75	teNK
MACF1	44478.25	teNK
GP1BA	128	teNK
STK32C	444	teNK
PREX1	15844	teNK
FAM102A	1459.25	hNK
G6PD	801.75	hNK
NFKBIZ	3620	teNK
RAB27A	1259	teNK
ATRX	9526.5	teNK
CLDND2	314.75	teNK
INF2	551.25	teNK
TNF	276	hNK
EIF3C	5028.75	hNK
EIF3CL	5028.75	hNK
ARSB	6564.25	teNK
UBE2G2	702.75	teNK
NRARP	808.5	hNK
PLEKHG5	461.75	teNK
KIF11	509.75	teNK
RPS23	2309.75	hNK
PTPRK	159.5	teNK
DNAAF5	570.25	teNK
TWSG1	281	hNK
RRBP1	2707.75	teNK
NFKB2	1186.25	teNK
HMMR	170.5	teNK
MBP	2766	teNK
ADAM8	111.25	hNK
CD38	684.75	teNK
GSDMD	854	teNK
KIF15	355.5	teNK
TRAF1	2247.5	teNK
ANTXR2	1126.25	teNK
GABBR1	1432.25	teNK
HACD4	110.25	teNK
ANKRD44	10346	teNK
NSMCE1	310.75	teNK
KIAA1147	446	hNK
BRD2	3903	hNK
SEC11A	958.75	hNK
RAVER2	420.75	teNK
PDGFB	902	teNK
PPP3CA	3065.25	teNK
DEF6	1851.5	teNK
SRPK1	2036.75	hNK
SH3BGRL2	292.75	teNK
CXADR	97.25	hNK
SPSB1	48.75	hNK
CR2	207	teNK
UBASH3B	1212.75	teNK
EXTL3	1344.5	hNK
PLP2	157.75	hNK
CBL	7293.75	teNK
TTC3	3695	teNK
SLAMF1	144.75	teNK
RAPGEF2	2934.75	teNK
MTFR1L	589.5	hNK
TCN2	701	teNK
F13A1	104.5	teNK
BBS12	137	hNK
SKIL	3684	hNK
SPAG1	176.5	hNK
KCNC1	185.25	teNK
GNPTAB	3595.75	teNK
AMN1	667.5	hNK
KIAA1211	107.5	teNK
MTHFD1L	815	hNK
PLEKHG2	726	teNK
TTC39B	4133.5	hNK
CYFIP2	11201.25	teNK
RPS20	5820.75	hNK
PXYLP1	664.25	teNK
SLC7A3	46.75	hNK
JUND	3772	teNK
ZBTB16	385.25	teNK
PLS1	102.25	teNK
C1orf21	2561	hNK
RFX1	1064.75	teNK
TRIM5	1972.75	teNK
POLR1A	791.25	hNK
XRN1	5283.25	teNK
PIM3	657.5	teNK
SF3B1	16441.25	teNK
B3GALNT2	756.5	hNK
S100A6	725.5	teNK
SOD1	1165.75	hNK
SCN3B	173	hNK
ST3GAL1	2279.75	teNK
RPL23A	2875.5	hNK
ARID4A	3622.75	teNK
FGR	219.25	teNK
KLRB1	1454.5	hNK
PGLYRP2	641.5	teNK
WDR13	432.75	teNK
NFE2	95.75	teNK
MFAP3L	157	teNK
SNORA46	88.75	hNK
UBXN4	2702	hNK
ARRB2	3072.75	teNK
ETS2	386.25	teNK
CCDC97	743.5	teNK
FOSL1	42.25	hNK
PHETA2	105.75	teNK
SLC48A1	276.25	hNK
LRP1	105.75	teNK
TEX261	773.5	hNK
GXYLT1	2022.75	teNK
PRPF4B	7925.5	teNK
FAM184B	85.75	teNK
PVRIG	640.25	hNK
VSIR	1411.5	teNK
OTULINL	2314.5	teNK
TRGC1	57.75	hNK
DOK4	46	hNK
TCIRG1	1113.75	teNK
RNF145	1472	teNK
STK4	7490.5	teNK
IGF1R	303.75	hNK
TMEM71	2072.25	teNK
GART	382	hNK
LRRK1	4069.5	teNK
RGS18	492.5	teNK
PACS2	840	hNK
UBA7	1365.25	teNK
PPP1R18	1877.5	teNK
RPS19	1615.25	hNK
TINF2	1430.75	teNK
ELOVL5	1859.5	teNK
QPRT	283.25	teNK
RASL11B	103.5	teNK
KIF21B	11480.75	teNK
PCP4L1	111	teNK
BCORL1	608	teNK
IKBKB	2259.25	teNK
VEGFA	1216	teNK
MRTFA	3116.25	teNK
TEX9	836.5	hNK
PARVB	473.25	teNK
ME1	52.75	hNK
CLEC1B	148	teNK
PIK3R5	5678.5	teNK
MFSD2B	157	teNK
GHITM	2234.5	hNK
CITED4	212.25	hNK
CHN2	1131.25	teNK
HLA-A	85.75	teNK
HLA-B	85.75	teNK
HLA-C	85.75	teNK
HLA-E	85.75	teNK
HLA-F	85.75	teNK
HLA-G	85.75	teNK
ADA	650.5	teNK
PRMT7	224.75	hNK
GATA6	86.25	teNK
PTPN18	701	teNK
HRH2	768.5	teNK
RCN1	399.25	teNK
TTC39C	541.25	hNK
GPX1	758.25	teNK
PLD1	597.75	teNK
CD274	558.25	teNK
ASRGL1	464	teNK
SCIMP	1073.5	teNK
RPS8	3917.5	hNK
SPPL3	2477.25	teNK
SMTN	174.25	teNK
DEPDC1B	155	teNK
TRAK2	2051.75	teNK
USP53	349	hNK
ESCO2	142	teNK
EMILIN2	1815.25	teNK
PNISR	5760.5	teNK
GSN	109.75	teNK
FAM117A	1432.75	teNK
BAMBI	221.75	teNK
RPSA	6236.5	hNK
ASH2L	537	hNK
CFLAR	2670.25	teNK
TTC7A	2933	teNK
PLEC	13626	teNK
RHOB	2335.75	teNK
POU2AF1	88.5	teNK
MAG	121	teNK
PCNA	2943.5	teNK
GP5	87.75	teNK
CDCA7L	1111.75	teNK
NRP1	87	hNK
WDR26	7547.25	teNK
FAM189B	614.5	teNK
CHST12	657.75	hNK
RPL36	1964.5	hNK
TRAK1	1855.75	teNK
MAN2B1	1461	teNK
SWAP70	523	hNK
CAMK2B	121.25	hNK
TBC1D30	275.5	teNK
ARAP1	1524.5	teNK
PAX5	99.5	teNK
H2AFZ	4594.5	teNK
POLR2E	603.5	hNK
KLF4	338.25	teNK
KIF1B	3460.75	teNK
IL2RG	2883.75	teNK
PLXNC1	661.25	teNK
SCD	848.75	teNK
PODNL1	88.25	teNK
CDK14	1276	hNK
GSTO1	123.75	hNK
ADAMTS10	2964.75	teNK
B4GALT1	4030.25	hNK
MPPE1	705.75	teNK
ITPR3	2227.25	teNK
STOM	120	teNK
IFIT2	341	teNK
TUT4	8623.25	teNK
ACSS1	602.75	teNK
LRRC8D	613	hNK
CPNE3	4272.5	teNK
PGLYRP1	432.25	teNK
BARD1	248.75	teNK
DCLK2	130.5	teNK
CLCN5	351	hNK
SMPDL3A	853.5	teNK
DAB2IP	1217.75	teNK
RPS11	3789	hNK
TBC1D10C	3820.75	teNK
ANXA7	789.25	hNK
AACS	279.75	hNK
SPINT2	165	hNK
AQP3	69.75	hNK
CLEC2D	910	hNK
NPC1	957.25	hNK
JARID2	1835.25	teNK
ZFP36L2	19748.75	teNK
CRIM1	2154	teNK
ZC3H12A	1062.25	teNK
LDLR	46.75	hNK
POLG2	337.5	teNK
HPSE	130.5	teNK
CTDSP2	907.5	hNK
BCAT1	51.5	hNK
KALRN	101.5	teNK
ABCC5	640.75	teNK
BCL3	194.75	teNK
IFT57	105.25	hNK
GRINA	1761	hNK
BICD2	1399.25	teNK
STX16	1058	teNK
RPS15A	3965.5	hNK
SCARNA5	725	hNK
GRM4	119	teNK
LRP8	51.75	hNK
ZHX3	202.25	teNK
ABI2	788.75	teNK
BLCAP	219.75	hNK
PPBP	1504.25	teNK
ATP8B2	4467.75	teNK
ABRACL	782.75	teNK
IL7R	1477	teNK
CHMP1B	3159.75	teNK
TMCO3	449.75	teNK
FHL3	96.25	hNK
SPTY2D1	3235	teNK
ANO8	351.25	teNK
DGKZ	3541.25	teNK
LAMP2	1220.25	hNK
XBP1	1099.5	hNK
LRRK2	79.25	teNK
GSR	587.5	hNK
CCR7	116.5	hNK
